排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
1,6158,禾昌,26.25,-0.5,-1.9,2018,17.3,+5.33,5.67,+20.4,3.86,+430,32.7,+4.1,22.3,+17.9,11.3,+9.25,16.3,+13.4,3.65,+2.98,64
17,4807,日成-KY,34.15,+0.4,+1.2,2018,29.3,+36.2,8.75,+32.5,2.06,+62.5,29.9,-0.83,12.6,+2.17,22.1,+5.75,29.3,+5.45,5.41,+1.9,66
29,5015,華祺,40.0,-0.3,-0.7,2018,26.2,+7.08,5.55,+13.7,3.05,+50.4,21.2,+1.22,11.6,+3.35,15.2,+3.83,25.1,+7.17,5.02,+1.68,62
30,1463,強盛,13.4,0,0,2018,9.73,-43.5,3.52,-57.4,2.66,-53.5,36.2,-11.9,31.7,-8.11,10.6,-9.54,11.9,-13.3,1.62,-1.88,83
31,6496,科懋,38.3,-0.4,-1,2018,16.9,-1.54,5.86,-12.3,2.22,-20.7,34.7,-4.25,13.1,-3.17,13.4,-4.08,16.4,-5.27,4.75,-1.24,66
42,5317,凱美,40.0,-0.4,-1,2018,13.6,+5.31,2.74,+4.08,29.6,+886,20.2,-0.24,219,+195,35,+26.9,71.3,+51.8,21.72,+19.5,64
44,2596,綠意,20.35,-0.05,-0.2,2018,11.6,-4.57,5.04,+3.83,3.64,+42,43.3,+3.5,33.2,+4.67,14.1,+1.26,16.3,+0.04,3.64,+0.92,81
50,5220,萬達光電,31.75,+0.05,+0.2,2018,12.4,-0.26,3.18,+13.6,1.47,+56,25.6,+3.13,11.8,+4.26,15.8,+4.88,23.8,+5.94,3.84,+1.15,64
63,3567,逸昌,22.15,-0.2,-0.9,2018,4.13,-1.31,1.7,-3.19,0.93,-4.93,41.1,-0.8,22.5,-0.86,14.3,-0.63,17,-0.98,2.63,-0.13,75
75,8049,晶采,23.1,-0.45,-1.9,2018,19.5,+9.02,5.16,+27.3,2.98,+48.9,26.5,+3.81,15.3,+4.09,15.7,+4.75,19.3,+5.86,2.52,+0.83,66
78,5315,光聯,17.0,-0.35,-2,2018,18.2,+0.04,3.32,+0.78,2.11,+99,18.2,+0.13,11.6,+5.76,11,+5.82,16.3,+8.59,2.04,+1.03,60
83,2375,智寶,35.15,-0.45,-1.3,2018,29.7,+1.61,5.69,+4.9,17.5,+659,19.1,+0.6,96.1,+83.5,27.6,+21.2,54.1,+41,19.11,+16.6,64
86,6021,大慶證,11.75,-0.1,-0.8,2018,6.14,-2.53,5.58,-4.8,1.97,+17.2,91,-2.17,32,+5.4,2.46,+0.38,4.08,+0.36,0.64,+0.09,64
91,6161,捷波,19.15,-0.2,-1,2018,14.8,+11.8,4.06,+3.58,1.84,-9.76,27.4,-2.18,12.4,-2.98,10.5,-0.47,13.2,-0.38,1.87,+0.06,60
92,6187,萬潤,37.15,+0.4,+1.1,2018,19.3,+3.16,8,-5.53,3.14,+3.7,41.5,-3.82,16.3,+0.08,12.4,+0.44,16.8,+0.39,3.74,+0.14,66
96,2509,全坤建,29.0,+0.05,+0.2,2018,39.5,+248,15.3,+430,9.86,+3236,38.8,+13.4,25,+22.4,11.8,+11.4,25.8,+24.9,5.7,+5.51,62
106,1310,台苯,24.55,+0.05,+0.2,2018,154,+4.28,19.8,+17,12.2,+15.2,12.8,+1.4,7.72,+1.04,11.1,+2.4,15.5,+2.5,2.3,+0.3,62
132,4972,湯石照明,30.05,0,0,2018,10.5,+6.7,3.61,+4.3,1.06,-12.8,34.2,-0.79,10,-2.24,7.26,-1.2,8.89,-1.45,2.65,-0.39,60
145,6182,合晶,32.4,-0.3,-0.9,2018,92.1,+44.4,34.2,+123,19.1,+535,37.1,+13.1,24.7,+17.6,12.8,+9.67,20.1,+14,3.8,+3.13,68
148,6532,瑞耘,29.85,-0.25,-0.8,2018,4.71,+29,1.79,+39.3,1.09,+88.7,38.1,+2.84,23.2,+7.35,17,+6.7,21.4,+8.65,3.46,+1.62,73
160,3014,聯陽,35.5,-0.15,-0.4,2018,33.6,+5.99,17.7,+9.98,4.87,+25,52.7,+1.91,14.5,+2.27,9.89,+1.83,12.6,+2.49,3.08,+0.61,68
161,8131,福懋科,32.9,-0.25,-0.8,2018,87.9,+11.4,16.7,+27.9,14.2,+1.95,19,+2.47,16.2,-1.49,11.4,-0.41,12.7,-0.39,3.21,+0.06,64
168,6212,理銘,40.0,0,0,2018,37.9,+135,10.2,+260,7.67,+350,26.9,+9.36,20.2,+9.69,22.1,+17,37.6,+27.2,7.52,+5.85,72
169,2104,國際中橡,37.4,+0.35,+0.9,2018,244,+21.5,65.8,+18.1,29.9,+31.7,26.9,-0.77,13.3,+1.88,7.54,+0.7,12.3,+0.8,4.18,+0.49,60
171,6104,創惟,31.65,+0.25,+0.8,2018,18.9,+5.51,9.14,+4.37,2.45,+86.9,48.4,-0.53,13,+5.66,9.31,+4.06,17.6,+8.19,2.73,+1.27,64
173,2478,大毅,33.65,+0.15,+0.4,2018,60.2,+47.6,23.2,+224,13.5,+615,38.6,+21,22.7,+18,17.3,+14.4,25.9,+21.6,7.26,+6.21,66
198,6203,海韻電,35.05,+0.05,+0.1,2018,22.7,+30.6,6.83,+38.4,3.01,+187,30.2,+1.7,13.3,+7.23,13.2,+8.41,19.5,+12.4,3.76,+2.45,60
227,4305,世坤,37.6,-0.1,-0.3,2018,11.4,-4.03,2.74,+1.11,1.75,+27.4,24.1,+1.23,15.3,+3.78,14.6,+2.94,17.2,+3.38,3.18,+0.69,68
232,8054,安國,14.55,-0.05,-0.3,2018,17.4,-10.5,6.78,-8.11,0.81,+3.32,38.9,+1,6.16,+1.61,4.06,+0.71,4.55,+0.7,1.1,+0.03,60
233,2423,固緯,26.2,+0.35,+1.4,2018,25.8,+11.7,13,+13.6,3.44,+20.9,50.4,+0.86,13.3,+1.02,10.9,+1.58,15.1,+2.2,2.37,+0.41,62
239,6216,居易,29.2,+0.1,+0.3,2018,9.86,+0.47,4.95,-2.7,1.88,-2.95,50.2,-1.64,19,-0.67,11.2,-0.15,12.9,-0.76,2.28,-0.1,77
241,8069,元太,30.8,-3.2,-9.4,2018,142,-6.54,59.3,-5.64,26.1,+25.8,41.7,+0.4,19,+5.25,7.4,+1.39,9.69,+2.03,2.32,+0.47,66
244,3040,遠見,29.7,-0.1,-0.3,2018,1.9,+0.62,1.14,-4.32,0.82,-88.2,60.1,-3.1,43.5,-326,4.57,-33.1,4.98,-35.5,1.31,-9.75,72
