SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43629,7,4,Runtime Error,0,879,12:20:52
43628,31,3,Runtime Error,0,521,12:20:38
43627,106,2,Wrong Answer,0,10,12:20:27
43626,101,4,Wrong Answer,0,2330,12:20:27
43625,56,2,Wrong Answer,30,616,12:20:22
43624,13,2,Wrong Answer,0,1261,12:20:15
43623,84,2,Runtime Error,0,402,12:20:12
43622,78,2,Runtime Error,0,481,12:20:11
43621,31,3,Wrong Answer,0,521,12:20:11
43620,58,3,Wrong Answer,0,704,12:20:09
43619,46,2,Compile Error,0,1789,12:20:06
43618,48,2,Wrong Answer,8,401,12:20:05
43617,10,2,Wrong Answer,10,301,12:20:03
43616,31,3,Runtime Error,0,523,12:20:02
43615,20,2,Runtime Error,0,1737,12:20:01
43614,11,4,Accepted,30,1492,12:19:59
43613,21,2,Wrong Answer,0,451,12:19:55
43612,108,3,Wrong Answer,10,1125,12:19:47
43611,65,2,Wrong Answer,12,587,12:19:44
43610,112,2,Runtime Error,0,477,12:19:44
43609,107,3,Wrong Answer,24,365,12:19:39
43608,74,2,Wrong Answer,2,1480,12:19:37
43607,58,3,Runtime Error,0,730,12:19:35
43606,51,2,Wrong Answer,0,373,12:19:31
43605,48,2,Runtime Error,8,443,12:19:31
43604,108,3,Compile Error,0,982,12:19:27
43603,89,2,Runtime Error,0,350,12:19:25
43602,78,3,Runtime Error,4,323,12:19:23
43601,13,2,Wrong Answer,0,1260,12:19:23
43600,46,2,Compile Error,0,1685,12:19:16
43599,116,1,Wrong Answer,0,416,12:19:14
43598,24,2,Runtime Error,0,387,12:19:13
43597,10,2,Wrong Answer,10,301,12:19:09
43596,91,4,Accepted,30,704,12:18:51
43595,31,4,Runtime Error,0,645,12:18:42
43594,13,2,Wrong Answer,0,1254,12:18:41
43593,44,4,Runtime Error,4,1078,12:18:41
43592,101,4,Wrong Answer,0,2374,12:18:38
43591,75,4,Runtime Error,0,1599,12:18:35
43590,81,4,Runtime Error,0,1744,12:18:34
43589,116,1,Runtime Error,0,462,12:18:26
43588,58,3,Wrong Answer,0,703,12:18:17
43587,67,2,Runtime Error,0,573,12:18:13
43586,84,2,Compile Error,0,541,12:18:12
43585,116,1,Wrong Answer,0,450,12:18:03
43584,27,2,Accepted,40,381,12:18:03
43583,21,2,Wrong Answer,0,433,12:18:01
43582,105,3,Wrong Answer,0,937,12:17:49
43581,81,4,Runtime Error,0,1765,12:17:47
43580,26,2,Accepted,40,860,12:17:41
43579,29,4,Wrong Answer,10,1132,12:17:38
43578,54,2,Wrong Answer,0,308,12:17:24
43577,5,3,Accepted,30,757,12:17:23
43576,36,2,Wrong Answer,0,365,12:17:18
43575,112,3,Runtime Error,4,280,12:17:17
43574,101,4,Wrong Answer,0,2306,12:17:09
43573,17,1,Wrong Answer,0,367,12:17:02
43572,75,2,Wrong Answer,0,1618,12:17:02
43571,25,2,Wrong Answer,8,440,12:16:58
43570,75,1,Wrong Answer,0,399,12:16:46
43569,3,1,Wrong Answer,0,293,12:16:28
43568,31,4,Compile Error,0,2361,12:16:27
43567,16,2,Wrong Answer,0,955,12:16:21
43566,78,3,Wrong Answer,2,233,12:15:42
43565,108,3,Wrong Answer,10,918,12:15:41
43564,74,2,Runtime Error,0,1722,12:15:34
43563,110,1,Accepted,30,259,12:15:28
43562,44,4,Runtime Error,6,1244,12:15:28
43561,11,4,Wrong Answer,30,1411,12:15:28
43560,70,2,Runtime Error,0,423,12:14:51
43559,39,2,Runtime Error,0,424,12:14:49
43558,74,2,Runtime Error,0,1757,12:14:45
43557,78,3,Runtime Error,0,188,12:14:42
43556,63,2,Wrong Answer,0,273,12:14:41
43555,8,2,Wrong Answer,0,441,12:14:32
43554,62,1,Accepted,30,268,12:14:19
43553,27,2,Wrong Answer,0,390,12:14:12
43552,2,2,Wrong Answer,0,231,12:13:43
43551,98,2,Wrong Answer,0,426,12:13:41
43550,45,3,Wrong Answer,4,238,12:13:14
43549,46,2,Wrong Answer,0,1400,12:13:06
43548,92,3,Wrong Answer,22,2804,12:13:01
43547,86,2,Accepted,40,432,12:12:57
43546,78,3,Wrong Answer,4,236,12:12:33
43545,65,2,Wrong Answer,10,489,12:12:28
