SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43495,92,3,Wrong Answer,2,2779,11:59:56
43494,62,2,Time Limit Exceed,0,483,11:59:48
43493,91,2,Wrong Answer,0,1690,11:59:34
43492,20,4,Accepted,30,1476,11:59:17
43491,43,1,Accepted,30,298,11:58:43
43490,96,4,Runtime Error,12,1440,11:58:30
43489,94,2,Wrong Answer,0,923,11:57:54
43488,106,4,Accepted,30,1553,11:57:07
43487,87,3,Accepted,30,526,11:57:06
43486,25,2,Runtime Error,8,426,11:56:44
43485,58,1,Accepted,30,418,11:56:39
43484,27,4,Accepted,30,944,11:56:26
43483,44,4,Runtime Error,4,1152,11:56:16
43482,96,4,Runtime Error,12,1376,11:55:33
43481,116,1,Runtime Error,0,377,11:55:25
43480,107,4,Accepted,30,835,11:55:11
43479,25,2,Runtime Error,8,426,11:54:41
43478,103,2,Accepted,40,524,11:54:36
43477,93,3,Wrong Answer,20,800,11:54:28
43476,12,2,Runtime Error,36,630,11:54:27
43475,58,1,Wrong Answer,22,416,11:53:44
43474,103,2,Wrong Answer,22,525,11:53:43
43473,0,3,Accepted,30,301,11:53:17
43472,25,2,Runtime Error,8,426,11:53:10
43471,3,4,Wrong Answer,28,971,11:53:09
43470,107,4,Wrong Answer,30,793,11:53:03
43469,24,3,Wrong Answer,4,132,11:52:18
43468,117,2,Accepted,40,845,11:52:08
43467,107,4,Wrong Answer,30,793,11:51:42
43466,68,2,Accepted,40,1395,11:51:18
43465,53,2,Compile Error,0,1420,11:51:15
43464,72,3,Accepted,30,426,11:49:57
43463,96,4,Wrong Answer,10,1216,11:49:54
43462,63,1,Accepted,30,412,11:49:29
43461,87,3,Wrong Answer,20,426,11:49:28
43460,45,3,Wrong Answer,0,145,11:49:21
43459,39,3,Runtime Error,24,836,11:49:00
43458,103,2,Wrong Answer,0,534,11:48:37
43457,102,1,Accepted,30,349,11:48:26
43456,39,3,Runtime Error,20,794,11:47:35
43455,107,4,Wrong Answer,20,742,11:47:22
43454,88,1,Accepted,30,418,11:47:05
43453,51,2,Wrong Answer,0,526,11:46:49
43452,74,2,Runtime Error,0,1699,11:46:39
43451,79,4,Accepted,30,1103,11:46:31
43450,21,3,Accepted,30,472,11:46:30
43449,51,4,Accepted,30,1150,11:46:18
43448,26,4,Accepted,30,1690,11:46:04
43447,59,1,Wrong Answer,2,307,11:45:54
43446,21,3,Runtime Error,24,472,11:45:07
43445,113,4,Accepted,30,1070,11:45:02
43444,117,2,Wrong Answer,10,504,11:45:00
43443,15,2,Accepted,40,527,11:44:53
43442,102,2,Accepted,40,705,11:44:20
43441,29,3,Wrong Answer,24,1355,11:44:12
43440,36,1,Accepted,30,370,11:43:55
43439,112,4,Accepted,30,1362,11:42:40
43438,43,3,Accepted,30,335,11:42:33
43437,26,4,Wrong Answer,24,1679,11:42:15
43436,92,3,Wrong Answer,14,2725,11:42:14
43435,81,1,Accepted,30,252,11:42:02
43434,97,3,Accepted,30,809,11:42:01
43433,72,3,Wrong Answer,24,348,11:41:36
43432,41,2,Accepted,40,816,11:40:23
43431,78,3,Wrong Answer,0,214,11:40:09
43430,59,4,Wrong Answer,30,996,11:39:48
43429,20,3,Wrong Answer,26,584,11:39:47
43428,83,4,Accepted,30,838,11:39:42
43427,17,1,Wrong Answer,2,373,11:39:26
43426,58,3,Wrong Answer,0,673,11:39:08
43425,97,3,Runtime Error,14,779,11:38:59
43424,78,3,Wrong Answer,2,166,11:38:56
43423,74,2,Runtime Error,0,1537,11:38:52
43422,92,3,Wrong Answer,14,2724,11:38:29
43421,0,2,Accepted,40,368,11:38:26
43420,74,3,Accepted,30,381,11:38:16
43419,19,2,Accepted,40,668,11:38:10
43418,43,2,Runtime Error,26,1002,11:38:00
43417,21,3,Wrong Answer,20,370,11:37:54
43416,84,3,Wrong Answer,24,9309,11:37:50
43415,41,2,Wrong Answer,18,842,11:37:41
43414,58,3,Wrong Answer,0,689,11:37:39
43413,43,3,Wrong Answer,24,335,11:37:28
43412,8,4,Accepted,30,1003,11:37:23
43411,86,4,Accepted,30,821,11:37:03
43410,60,4,Accepted,30,482,11:36:35
43409,43,3,Wrong Answer,24,337,11:36:30
43408,21,3,Wrong Answer,20,370,11:36:10
43407,59,3,Wrong Answer,16,950,11:35:53
43406,58,3,Wrong Answer,0,673,11:35:49
43405,39,3,Wrong Answer,12,364,11:35:47
43404,117,2,Wrong Answer,0,347,11:35:45
43403,86,4,Wrong Answer,30,821,11:35:44
43402,0,2,Wrong Answer,12,356,11:35:36
43401,97,3,Runtime Error,14,725,11:35:28
43400,21,3,Wrong Answer,8,367,11:35:10
43399,41,2,Wrong Answer,22,815,11:35:04
43398,15,4,Wrong Answer,28,1056,11:34:51
43397,74,3,Accepted,30,406,11:34:47
43396,58,3,Wrong Answer,0,690,11:34:28
43395,93,2,Accepted,40,1416,11:34:10
43394,54,4,Accepted,30,922,11:33:53
43393,92,1,Accepted,30,310,11:33:41
43392,15,3,Wrong Answer,24,753,11:33:25
43391,40,2,Accepted,40,1059,11:33:22
43390,25,4,Accepted,30,774,11:32:47
43389,83,1,Accepted,30,219,11:32:29
43388,46,4,Runtime Error,22,2542,11:32:20
43387,55,3,Accepted,30,306,11:32:16
43386,21,3,Runtime Error,4,366,11:32:08
43385,67,4,Runtime Error,22,1090,11:32:08
43384,11,3,Accepted,30,798,11:32:04
43383,2,2,Wrong Answer,0,231,11:32:03
43382,50,4,Accepted,30,694,11:31:58
43381,50,4,Accepted,30,694,11:31:58
43380,75,4,Runtime Error,0,1599,11:31:57
43379,20,3,Wrong Answer,18,459,11:31:17
43378,60,4,Wrong Answer,22,450,11:30:53
43377,11,3,Wrong Answer,0,797,11:30:50
43376,31,1,Compile Error,0,320,11:30:46
43375,31,1,Compile Error,0,320,11:30:46
43374,101,1,Accepted,30,235,11:30:39
43373,25,4,Accepted,30,833,11:30:22
43372,46,4,Runtime Error,22,2489,11:30:03
